Canned/Dry/Baking Goods	Breadcrumbs	750g	Homebrand	crumbled fish	Woolworths	2.99
Canned/Dry/Baking Goods	Brown Dark Sugar	1 kg	Csr	baking, cake, vegan possibility	Woolworths	4.20
Canned/Dry/Baking Goods	Canadian Maple Syrup 100%	250 ml	Woolworths	yoghurt, baking	Woolworths	6.30
Canned/Dry/Baking Goods	Cardamon Ground	50g	SPICE & CO	Carrot Cake	Harris Farm	2.69
Canned/Dry/Baking Goods	Chia Seeds Black	250g	Macro	Chia pudding	Woolworths	6.99
Canned/Dry/Baking Goods	Chick Peas	425 g	Macro Organic	hummus	Woolworths	1.30
Canned/Dry/Baking Goods	Chick Peas No Added Salt	426 g	Woolworths Select	Chicken cous cous	Woolworths	0.80
Canned/Dry/Baking Goods	Cinnamon Ground	75g	SPICE & CO	Cake, yoghurt	Harris Farm	2.99
Canned/Dry/Baking Goods	Cocoa Powder	250g	Cadbury	cake	Woolworths	5.40
Canned/Dry/Baking Goods	Cocoa Powder	375g	Homebrand	cake	Woolworths	4.00
Canned/Dry/Baking Goods	Coconut Desiccated	500g	Homebrand	cake	Woolworths	3.18
Canned/Dry/Baking Goods	Coconut Shredded	250 g	Homebrand	baking	Woolworths	1.75
Canned/Dry/Baking Goods	Coconut Water	1l	Cocobella 	iceblocks	Woolworths	3.99
Canned/Dry/Baking Goods	Conserve Raspberry	500 g	csr	breakfast	Woolworths	2.50
Canned/Dry/Baking Goods	Corn Chips Unsalted	500 g	NATURE'S EARTH	nachos	Harris Farm	5.99
Canned/Dry/Baking Goods	Corn Crispbread Crackers	125 g	Orgran	ASSORTED RICE THINS/ CORN CRISPBREAD	Woolworths	2.99
Canned/Dry/Baking Goods	Corn Thins Original	150 g	Real Foods	ASSORTED RICE THINS/ CORN CRISPBREAD	Woolworths	2.00
Canned/Dry/Baking Goods	Cous Cous GF	501 g	San Remo	Chicken cous cous, Humus	Woolworths	3.99
Canned/Dry/Baking Goods	Cous Cous Medium Grain	500 g	San Remo	Chicken cous cous	Woolworths	2.75
Canned/Dry/Baking Goods	Cumin Ground	50g	SPICE & CO	Humus	Woolworths	2.99
Canned/Dry/Baking Goods	Dates pitted loose 	500g	Harris	Halva balls	Harris Farm	2.50
Canned/Dry/Baking Goods	Extra Virgin Cold Pressed Olive Oil	4l	Moro	hummus,gucamole	Woolworths	25
Canned/Dry/Baking Goods	Garlic Minced	500 g	Homebrand	guacamole, mince beef	Woolworths	2.30
Canned/Dry/Baking Goods	Goji Berries	250g	Yummy organic	granola	Harris Farm	8.99
Canned/Dry/Baking Goods	Honey	1kg	Harris Farm Australian Honey	yoghurt and berries	Harris Farm	13.69
Canned/Dry/Baking Goods	Leggos Tomato Paste Pizza Grlc Onion Herb Squeeze  	400g	Leggos	pizza	Woolworths	0.49
Canned/Dry/Baking Goods	Linseed	500g	Market grocer	toast quiche	Harris Farm	3.99
Canned/Dry/Baking Goods	Nutmeg Ground	40g	Woolworths Select	Carrot Cake	Harris Farm	2.99
Canned/Dry/Baking Goods	Organic Buckwheat Raw	500g	Macro	Beetroot Buckwheat cake	Woolworths	3.49
Canned/Dry/Baking Goods	Orgran Buckwheat Pasta	250g	Orgran	tuna pasta	Harris Farm	4.29
Canned/Dry/Baking Goods	Penne Pasta No 18	750 kg	San Remo	pasta	Woolworths	2.90
Canned/Dry/Baking Goods	Penne Wholemeal Pasta	500 g	San Remo	pasta	Woolworths	1.95
Canned/Dry/Baking Goods	Pineaplle can	450g	Golden Circle	pizza	Woolworths	3.25
Canned/Dry/Baking Goods	Plain Flour	2 kg	White Wings	baking	Woolworths	5
Canned/Dry/Baking Goods	Plain Flour	3 kg	Homebrand	baking	Woolworths	1.50
Canned/Dry/Baking Goods	Puffed corn	170g	Abundant Earth 	granola	Woolworths	3.40
Canned/Dry/Baking Goods	Puffed rice	170g	Abundant Earth 	granola	Woolworths	3.40
Canned/Dry/Baking Goods	Rice Arborio 	1 kg	Woolworths Select	rice pudding	Woolworths	2.61
Canned/Dry/Baking Goods	Rice Crackers Tamari Seaweed	100g	Eatrite	crackers&cheese	Woolworths	3.69
Canned/Dry/Baking Goods	Rice Medium grain	2kg	Sunrice 	sushi	Woolworths	5.00
Canned/Dry/Baking Goods	Spirals Pasta	750 kg	San Remo	pasta	Woolworths	2.90
Canned/Dry/Baking Goods	Sunflower seeds	250g	Yummy	baking	Harris Farm	3.26
Canned/Dry/Baking Goods	Turmeric Ground	30g	Woolworths Select	rice	Woolworths	1.57
Canned/Dry/Baking Goods	Quinoa flakes	350g	Macro organic	granola, GF variation	Woolworths	7.00
Canned/Dry/Baking Goods	Vegemite	560 g	Kraft	vegemite&cheese sndwiches	Woolworths	8
Canned/Dry/Baking Goods	Vermicelli Noodles	250g	Changs	Budha bowl	Woolworths	1.45
Frozen Foods	Corn Kernels	1kg	Woolworths	tacos	Woolworths	2.60
Frozen Foods	Pea frozen	1kg	Homebrand	quiche	Woolworths	1.99
Frozen Foods	Puff Pastry Sheets 	1kg	Homebrand	baking club	Woolworths	2.30
Meat	Turkey Breast Thin Sliced 97%	80 g	Primo	sandwiches	Woolworths	3
Meat	Sirena Tuna In Oil Italian Style	425g	Sirena	tuna pasta	Woolworths	6.48
Meat	Flathead Fillets Skin Off, Deboned	450g	HF	crumbled fish	Harris Farm	24
Meat	Ham Leg Honey Roasted Shaved	250g	Don	pizza, corn crispbread	Woolworths	4.80
Meat	Mince lean beef	kg		taco, pasta bolognese	Feather and Bone	25
Meat	Chicken breast	kg		chicken cous cous, chicken mountain wrap	Feather and Bone	25
Paper Goods/Cleaners	Baking Paper	50 m	Multix	baking	Woolworths	5.09
Paper Goods/Cleaners	Cling Wrap	50 m	Multix	snack	Woolworths	5.99
Paper Goods/Cleaners	Dishwashing Liquid	1 l	Ecostore	washing dishes	Woolworths	2.99
Paper Goods/Cleaners	Disposable Kidz Gloves	20pk	Ansell	baking	Woolworths	3.15
Paper Goods/Cleaners	Latex Gloves Disposable Powderfree One Size	100 pcs	Hygiene Plus	cooking	Woolworths	9.99
Paper Goods/Cleaners	Muffin Cases White	100 pcs	Multix Patty Pans	muffins	Woolworths	3.00
Paper Goods/Cleaners	Paper Towel 	1ply 110ss, 2 in pck	Homebrand	dry dishes, snack	Woolworths	1.99
